question,correct,wrong1,wrong2,wrong3
"Which of the following fractions is the largest?","\(4/5\)","\(7/9\)","\(11/14\)","\(13/17\)"
"For any integer \(n\), simplify the following expression: \(\frac{2^n + 2^{n+1}}{2^{n-1} - 2^n}\)","\(-6\)","\(-3\)","\(6\)","\(3/2\)"
"Rationalize the denominator and simplify: \(\frac{\sqrt{3} + \sqrt{2}}{\sqrt{3} - \sqrt{2}}\)","\(5 + 2\sqrt{6}\)","\(5\)","\(1\)","\(5 - 2\sqrt{6}\)"
"What is the sum of the roots of the equation \(2x^2 - 7x + 3 = 0\)?","\(7/2\)","\(-7/2\)","\(3/2\)","\(-3/2\)"
"Evaluate the following expression: \(e^{2 \ln(3)} + \log_{10}(0.001)\)","\(6\)","\(3\)","\(8\)","\(12\)"
"What is the remainder when the polynomial \(P(x) = 2x^3 - 3x^2 + x - 5\) is divided by \((x - 2)\)?","\(1\)","\(-5\)","\(3\)","\(-1\)"
"Simplify the following algebraic fraction expression (assuming \(x \neq 2\) and \(x \neq -2\)): \(\frac{x^2 - 4x + 4}{x^2 - 4} \div \frac{x - 2}{x + 2}\)","\(1\)","\(x - 2\)","\(\frac{x - 2}{x + 2}\)","\(x + 2\)"
"Let \(a\) and \(b\) be non-zero real numbers such that \(a < b\) and \(|a| > |b|\). Which of the following statements MUST be true?","\(a + b < 0\)","\(ab > 0\)","\(a^2 < b^2\)","\(1/a > 1/b\)"
"Evaluate the numerical value of: \((27/8)^{-2/3} + (1/16)^{-0.75}\)","\(76/9\)","\(44/9\)","\(10/3\)","\(17/4\)"
"Solve for \(x\) in the real number system: \(\sqrt{2x + 5} - x = 1\)","\(x = 2\) only","\(x = 2\) and \(x = -2\)","\(x = -2\) only","No real solutions"
"Find the value of \(x\) that satisfies the equation: \(\log_2(x) + \log_2(x - 3) = 2\)","\(x = 4\)","\(x = 4\) and \(x = -1\)","\(x = 1\)","\(x = 5\)"
"Solve the inequality: \((1/2)^{x^2 - 3x} < 4\)","\(x < 1\) or \(x > 2\)","\(1 < x < 2\)","\(-1 < x < 2\)","\(x > 2\)"
"Determine the domain of the real-valued function \(f(x) = \sqrt{\ln(x^2 - 8)}\)","\(x \geq 3\) or \(x \leq -3\)","\(x > 2\sqrt{2}\) or \(x < -2\sqrt{2}\)","\(-3 \leq x \leq 3\)","\(x \geq 9\)"
"For which values of \(k\) does the quadratic equation \(x^2 - kx + 9 = 0\) have NO real roots?","\(-6 < k < 6\)","\(k < -6\) or \(k > 6\)","\(k \leq -6\) or \(k \geq 6\)","\(-6 \leq k \leq 6\)"
"Find the solution set for the inequality: \(3(x - 2) - 4(2x + 1) \leq 5 - x\)","\(x \geq -15/4\)","\(x \leq -15/4\)","\(x \geq 15/4\)","\(x \leq 15/4\)"
"Which of the following expressions is equivalent to \((a+b)^3 - (a-b)^3\)?","\(6a^2b + 2b^3\)","\(2b^3\)","\(2a^3\)","\(6ab^2 + 2a^3\)"
"If \(\log_{10}(x) + \log_{10}(y) = 3\) and \(x = 2y\), what is the exact value of \(y\)? (Assume \(x > 0, y > 0\))","\(10\sqrt{5}\)","\(50\)","\(500\)","\(100\)"
"Simplify the following radical expression: \(\sqrt{12} + \sqrt{27} - \sqrt{48}\)","\(\sqrt{3}\)","\(-\sqrt{3}\)","\(\sqrt{15}\)","\(2\sqrt{3}\)"
"Find the solution set for the inequality: \(\frac{x-1}{x+2} \geq 0\)","\(x < -2\) or \(x \geq 1\)","\(x \geq 1\)","\(-2 < x \leq 1\)","\(-2 \leq x \leq 1\)"
"Find the real values of \(x\) that solve the equation: \(3^{2x+1} - 10 \cdot 3^x + 3 = 0\)","\(x = 1\) and \(x = -1\)","\(x = 3\) and \(x = 1/3\)","\(x = 0\) and \(x = 1\)","\(x = 1\) only"
"What is the quotient when \((x^4 - 1)\) is divided by \((x - 1)\)?","\(x^3 + x^2 + x + 1\)","\(x^3 - 1\)","\(x^3 - x^2 + x - 1\)","\(x^2 + 1\)"
"Solve the inequality: \(\ln(x - 2) < 0\)","\(2 < x < 3\)","\(x < 3\)","\(x > 2\)","\(0 < x < 3\)"
"Find the real solution(s) for the equation: \(\sqrt{x} = x - 2\)","\(x = 4\) only","\(x = 1\) and \(x = 4\)","\(x = 1\) only","No real solutions"
"What is the last digit (units digit) of the number \(2^{50}\)?","\(4\)","\(2\)","\(6\)","\(8\)"
"Arrange the following numbers from smallest to largest: \(A = \sqrt{2}\), \(B = 1.41\), \(C = 1.414\), \(D = 7/5\)","\(D < B < C < A\)","\(B < D < C < A\)","\(D < B < A < C\)","\(A < C < B < D\)"
"If \(x + y = 5\) and \(xy = 6\), what is the value of \(x^2 + y^2\)?","\(13\)","\(25\)","\(11\)","\(37\)"
"Simplify the following expression for \(x > 0\): \(\frac{x^{1/2} \cdot x^{2/3}}{x^{1/6}}\)","\(x\)","\(x^{1/3}\)","\(x^{7/6}\)","\(x^{5/6}\)"
"For what real values of the parameter \(m\) is the inequality \(x^2 + mx + 1 > 0\) strictly true for all real numbers \(x\)?","\(-2 < m < 2\)","\(m > 2\)","\(m < -2\)","For all real \(m\)"
"Write the following expression as a single logarithm: \(2\log(a) - 3\log(b) + \frac{1}{2}\log(c)\)","\(\log\left(\frac{a^2 \sqrt{c}}{b^3}\right)\)","\(\log\left(\frac{a^2 c}{b^3}\right)\)","\(\log\left(\frac{2a + c/2}{3b}\right)\)","\(\log\left(a^2 - b^3 + \sqrt{c}\right)\)"
"If one of the roots of the quadratic equation \(x^2 - px + 12 = 0\) is \(x = 4\), what is the value of the constant \(p\)?","\(7\)","\(3\)","\(-7\)","\(8\)"
